NIT/RFP NO,Name of Work,Estimated Cost,Bid Submission Closing Date & Time,EMD Amount,Bid Opening Date & Time
01/EE&SM(C)-II/IIT JP/2025-26,"C/o Main campus of Indian Institute of Technology, Jammu in Phase-1C (SH:- Providing 3 nos. inspection vehicle for the O/o CE cum ED (IIM & IIT Jammu) and O/o EE & SM (C), CPWD, IIT Jammu PD-II)Subwork/Packages:C/o Main campus of Indian Institute of Technology, Jammu in Phase-1C (SH:- Providing 3 nos. inspection vehicle for the O/o CE cum ED (IIM & IIT Jammu) and O/o EE & SM (C), CPWD, IIT Jammu PD-II)","₹16,29,102",19/06/2025 15:00,"₹32,583",19/06/2025 15:30
NIQ-A(3)/AE(E)/Almora/2025/123 dt. 11-06-2025,"For various work under EE(E) Haldwani, CPWD (SH-Hiring of 1 No. inspection vehicle for sub-division-4, CPWD Almora)","₹65,005",19/06/2025 10:31,"₹1,300",19/06/2025 11:00
14/EE(E)/PLEWD/AE(E)-I/2025-26,"Supplying, Installation, Testing and Commissioning of Access control system and gate security Gadgets for Reception office and TKR-II gate in Parliament House Complex, New Delhi. (SH: Providing E and M Services in Extended Reception at TKR-II).","₹5,91,900",16/06/2025 15:00,"₹11,838",16/06/2025 15:30
21/EE/MUMBAI-II/2025-26,"A/R & M/O 112 Nos. Type-IV Qtrs. of GPRA at Malwani, Malad (W), Mumbai dg 2025-26. SH:- Day to day maintenance.","₹25,69,184",19/06/2025 15:00,"₹51,384",19/06/2025 15:30
28/EE(E)/Bhopal/2025-26,"Renovation of Auditorium Hall Including false ceiling Chairs acoustical Treatment, Wall paneling and Misc. Civil work for Indira Gandhi Rashtriya Manav Sangrahalaly (IGRMS) at Bhopal (MP) SH- SITC of Air cooled Cassette Split Type Air conditioners for Green room & Control room of AuditoriumSubwork/Packages:SITC of Air Cooled Cassette Split Type Air Conditioners for Greens Room and control room of Auditorium","₹2,68,380",18/06/2025 15:00,"₹5,368",18/06/2025 15:30
02/SR/DD/HD-VI/2025-26,"M/o Hort. work at Rajghat and all Samadhies under HSD-2/VI, CPWD, New Delhi during 2025-26 (SH: Removal of 08 Nos. fallen/died trees at Rajghat and All Samadhies)","₹12,910",16/06/2025 11:00,₹0,16/06/2025 11:30
01/SR/DD/HD-VI/2025-26,"M/o Hort. Work at GPRA Colony Timarpur under HSD-2/VI, CPWD, New Delhi during 2025-26 (SH: Removal of 05 Nos. fallen/died trees at GPRA Colony)","₹6,008",16/06/2025 11:00,₹0,16/06/2025 11:30
08/EE(E)/AE(E)/Mussoorie/2025-26,"RMO of Sub-stations, DG sets, Wet Riser System, Fire Alarm System, Central heating System, lifts, STP and Swimming Pool installed in different office buildings of LBSNAA, Mussoorie. (SH:- SITC of ceiling fan and wall mounted fan at Indira  Bhawan LBSNAA, Mussoorie.)Subwork/Packages:Electrical Work","₹5,85,940",16/06/2025 15:00,"₹11,719",16/06/2025 15:30
03/EE/JMCD/2025-26,Providing House keeping catering and Caretaking services in Guest house inspaction bungalow CPWD at Bera Road JaisalmerSubwork/Packages:house keeping,"₹2,96,445",19/06/2025 15:30,"₹5,929",21/06/2025 15:30
20/AE-III/EE/Mumbai-II/2025-26,"A/R & M/O SIB Resdl. Qtrs. Bldg. No. 06 at Mahim, Mumbai during 2024-25 SH : Balance works","₹3,21,114",20/06/2025 15:00,"₹6,422",20/06/2025 15:30
